TYear,TMonth,Material,Projected Sales,Category,Actual Sales,Dawlance Prediction,MonthOfPrediction,YearOfPrediction
2021,9,F11002065403,1209.034247,Refrigerator,1394.0,1200.0,8,2021
2021,9,F11002066103,0.0,Refrigerator,,0.0,8,2021
2021,9,F11002066203,0.0,Refrigerator,,0.0,8,2021
2021,9,F11002065103,517.8518368,Refrigerator,282.0,400.0,8,2021
2021,9,F11002065772,301.7235909,Refrigerator,210.0,340.3319224771664,8,2021
2021,9,F11002067072,546.7402658,Refrigerator,274.0,200.0,8,2021
2021,9,F11002066872,301.7235909,Refrigerator,224.0,340.0,8,2021
2021,9,F11002069472,461.1449208,Refrigerator,500.0,1000.0,8,2021
2021,9,F11002069271,250.3663839,Refrigerator,193.0,100.0,8,2021
2021,9,F11002069370,261.065802,Refrigerator,,100.0,8,2021
2021,9,F11002065345,797.1066497,Refrigerator,976.0,1000.0,8,2021
2021,9,F11002068200,422.6270156,Refrigerator,380.0,700.0,8,2021
2021,9,F01000000076,0.0,Refrigerator,,0.0,8,2021
2021,9,F01000000077,0.0,Refrigerator,,0.0,8,2021
2021,9,F01000000072,234.3172568,Refrigerator,292.0,800.0,8,2021
2021,9,F01000000142,412.9975393,Refrigerator,396.0,250.0,8,2021
2021,9,F01000000143,350.9409142,Refrigerator,466.0,100.0,8,2021
2021,9,F01000001400,419.4171902,Refrigerator,906.0,1000.0,8,2021
2021,9,F01000002200,710.4413629,Refrigerator,531.0,600.0,8,2021
2021,9,F01000002300,371.2698086,Refrigerator,453.0,700.0,8,2021
2021,9,F01000002400,429.0466665,Refrigerator,165.0,300.0,8,2021
2021,9,F01000002500,497.5229424,Refrigerator,147.0,300.0,8,2021
2021,9,F01000003700,623.7760762,Refrigerator,1183.0,1400.0,8,2021
2021,9,F01000003900,466.4946299,Refrigerator,491.0,850.0,8,2021
2021,9,F01000004000,502.8726515,Refrigerator,520.0,850.0,8,2021
2021,9,F01000003100,775.7078134,Refrigerator,341.0,600.0,8,2021
2021,9,F01000004200,225.7577223,Refrigerator,149.0,0.0,8,2021
2021,9,F01000000208,42.79767247,Refrigerator,171.0,0.0,8,2021
2021,9,F01000000209,276.0449874,Refrigerator,226.0,0.0,8,2021
2021,9,F01000000210,0.0,Refrigerator,6.0,0.0,8,2021
2021,9,F01000000215,1583.513881,Refrigerator,1422.0,1400.0,8,2021
2021,9,F01000000216,981.1366413,Refrigerator,769.0,1000.0,8,2021
2021,9,F01000000217,0.0,Refrigerator,0.0,0.0,8,2021
2021,9,F01000000218,201.1490606,Refrigerator,22.0,650.0,8,2021
2021,9,F01000000219,555.2998002,Refrigerator,114.0,550.0,8,2021
2021,9,F01000002700,1067.801928,Refrigerator,764.0,800.0,8,2021
2021,9,F01000003000,73.825985,Refrigerator,33.0,0.0,8,2021
2021,9,F01000004500,364.8501578,Refrigerator,214.0,400.0,8,2021
2021,9,F01000004800,502.8726515,Refrigerator,611.0,500.0,8,2021
2021,9,F01000004900,18.1890108,Refrigerator,69.0,0.0,8,2021
2021,9,F01000001500,1126.648728,Refrigerator,655.0,1000.0,8,2021
2021,9,F01000001700,236.4571404,Refrigerator,383.0,500.0,8,2021
2021,9,F01000002100,266.4155111,Refrigerator,308.0,400.0,8,2021
2021,9,F01000002600,109.1340648,Refrigerator,33.0,0.0,8,2021
2021,9,F01000002900,572.4188692,Refrigerator,617.0,800.0,8,2021
